p,n_labeled,k,degree,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,100,2,2,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,11.70921209566662,0.3420416514078776,3
5,100,2,2,supervised,poly_lasso,0.4444444444444444,0.07856742013183862,1.0,0.0,0.5555555555555555,0.0785674201318386,1.0,0.0,0.7111111111111111,0.06285393610547094,0.7222222222222222,0.0785674201318386,5.666666666666667,2.0,1.6666666666666667,0.0,0.9794580271076949,0.2158887529999447,0.21495978037516275,3
5,100,2,2,supervised,poly_omp,0.2222222222222222,0.15713484026367722,1.0,0.0,0.7777777777777777,0.15713484026367724,1.0,0.0,0.8666666666666667,0.09428090415820632,0.8888888888888888,0.07856742013183865,3.0,2.0,0.6666666666666666,0.0,0.9795748846955984,0.02536805599993386,0.13143380482991537,3
5,100,2,2,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9787778660144698,0.4066938253333016,0.3326861063639323,3
5,100,2,2,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9785058373885503,0.2285046389999176,0.3297077814737956,3
5,100,2,2,supervised,sparse_poly_stlsq,0.1111111111111111,0.15713484026367722,1.0,0.0,0.8888888888888888,0.15713484026367724,1.0,0.0,0.9333333333333332,0.09428090415820632,0.9444444444444443,0.07856742013183865,5.333333333333333,2.0,0.3333333333333333,0.0,0.9818128133368133,0.0063088190001205175,0.10782972971598308,3
5,300,2,2,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.999108172333308,0.6256771087646484,3
5,300,2,2,supervised,poly_lasso,0.4444444444444444,0.07856742013183862,1.0,0.0,0.5555555555555555,0.0785674201318386,1.0,0.0,0.7111111111111111,0.06285393610547094,0.7222222222222222,0.0785674201318386,5.333333333333333,2.0,1.6666666666666667,0.0,0.9735264930888349,0.21300287966657075,0.32155386606852215,3
5,300,2,2,supervised,poly_omp,0.4444444444444444,0.07856742013183862,1.0,0.0,0.5555555555555555,0.0785674201318386,1.0,0.0,0.7111111111111111,0.06285393610547094,0.7222222222222222,0.0785674201318386,4.666666666666667,2.0,1.6666666666666667,0.0,0.9738268991404704,0.025474707999819657,0.3190094629923503,3
5,300,2,2,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.973214694333027,0.9906410150001648,0.6072505315144857,3
5,300,2,2,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9732265048541747,0.22459366433319397,0.6041905085245768,3
5,300,2,2,supervised,sparse_poly_stlsq,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.9736264969966887,0.006613862333476088,0.27125008900960285,3
5,100,3,2,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,12.131120869333245,0.3415314356486003,3
5,100,3,2,supervised,poly_lasso,0.08333333333333333,0.11785113019775792,1.0,0.0,0.9166666666666666,0.11785113019775792,1.0,0.0,0.9523809523809524,0.0673435029701474,0.9166666666666666,0.11785113019775792,5.666666666666667,3.0,0.3333333333333333,0.0,0.9793614813850717,0.22959612600000887,0.2151015599568685,3
5,100,3,2,supervised,poly_omp,0.21666666666666667,0.16499158227686112,1.0,0.0,0.7833333333333333,0.16499158227686112,1.0,0.0,0.869047619047619,0.10240863413145988,0.75,0.2041241452319315,6.666666666666667,3.0,1.0,0.0,0.9829693792921876,0.027939421666663595,0.1312290827433268,3
5,100,3,2,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.868511949310944,0.3981156556665155,0.33242130279541016,3
5,100,3,2,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.9769408490104543,0.2416288526663569,0.3299716313680013,3
