p,n_labeled,k,degree,noise_std,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,100,2,2,0.5,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,12.025905783666673,0.41143449147542316,3
5,100,2,2,0.5,supervised,poly_lasso,0.38888888888888884,0.07856742013183862,1.0,0.0,0.611111111111111,0.0785674201318386,1.0,0.0,0.7555555555555555,0.06285393610547094,0.7777777777777777,0.0785674201318386,5.0,2.0,1.3333333333333333,0.0,-57.9402211751657,0.02694220600000108,0.008845329284667969,3
5,100,2,2,0.5,supervised,poly_omp,0.6,0.0,1.0,0.0,0.4000000000000001,5.551115123125783e-17,1.0,0.0,0.5714285714285715,0.0,0.5,0.0,20.0,2.0,3.0,0.0,-98.43023948250516,0.0006311786666704696,0.00638580322265625,3
5,100,2,2,0.5,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9736301010984175,0.4118493186666683,0.3354441324869792,3
5,100,2,2,0.5,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9741743162218529,0.2305534423333313,0.33062394460042316,3
5,100,2,2,0.5,supervised,sparse_poly_stlsq,0.4222222222222222,0.29979416807182313,0.6666666666666666,0.23570226039551584,0.5777777777777778,0.29979416807182313,0.6666666666666666,0.23570226039551584,0.546031746031746,0.11033744252052549,0.5555555555555555,0.14163943093313291,10.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,-113.50181979160213,0.0003679270000039499,0.00644683837890625,3
5,100,2,2,0.5,semi_supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.158393122999996,0.3638671239217122,3
5,100,2,2,0.5,semi_supervised,poly_lasso,0.3666666666666667,0.26246692913372704,0.8333333333333334,0.23570226039551584,0.6333333333333333,0.26246692913372704,0.8333333333333334,0.23570226039551584,0.6349206349206349,0.044895668646764864,0.6388888888888888,0.10393492741038726,4.333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,-137.56196228053776,0.027994177333350006,0.0063018798828125,3
5,100,2,2,0.5,semi_supervised,poly_omp,0.6,0.0,1.0,0.0,0.4000000000000001,5.551115123125783e-17,1.0,0.0,0.5714285714285715,0.0,0.5,0.0,20.0,2.0,3.0,0.0,-788.754586295573,0.0006376703333330624,0.00634765625,3
5,100,2,2,0.5,semi_supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9718032590448802,0.34046185533333073,0.33294677734375,3
